budget,original_title,release_date,revenue,runtime,vote_average,actor1,actor2,actor3,director,genre,profit
237000000,Avatar,2009-12-10,2787965087,162.0,7.2,Sam Worthington,Zoe Saldana,Sigourney Weaver,James Cameron,Science Fiction,2551.0
300000000,Pirates of the Caribbean: At World's End,2007-05-19,961000000,169.0,6.9,Johnny Depp,Orlando Bloom,Keira Knightley,Gore Verbinski,Fantasy,661.0
245000000,Spectre,2015-10-26,880674609,148.0,6.3,Daniel Craig,Christoph Waltz,Léa Seydoux,Sam Mendes,Adventure,636.0
250000000,The Dark Knight Rises,2012-07-16,1084939099,165.0,7.6,Christian Bale,Michael Caine,Gary Oldman,Christopher Nolan,Action,835.0
260000000,John Carter,2012-03-07,284139100,132.0,6.1,Taylor Kitsch,Lynn Collins,Samantha Morton,Andrew Stanton,Adventure,24.0
258000000,Spider-Man 3,2007-05-01,890871626,139.0,5.9,Tobey Maguire,Kirsten Dunst,James Franco,Sam Raimi,Action,633.0
260000000,Tangled,2010-11-24,591794936,100.0,7.4,Zachary Levi,Mandy Moore,Donna Murphy,Byron Howard,Animation,332.0
280000000,Avengers: Age of Ultron,2015-04-22,1405403694,141.0,7.3,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Joss Whedon,Adventure,1125.0
250000000,Harry Potter and the Half-Blood Prince,2009-07-07,933959197,153.0,7.4,Daniel Radcliffe,Rupert Grint,Emma Watson,David Yates,Adventure,684.0
250000000,Batman v Superman: Dawn of Justice,2016-03-23,873260194,151.0,5.7,Ben Affleck,Henry Cavill,Gal Gadot,Zack Snyder,Adventure,623.0
270000000,Superman Returns,2006-06-28,391081192,154.0,5.4,Brandon Routh,Kevin Spacey,Kate Bosworth,Bryan Singer,Science Fiction,121.0
200000000,Quantum of Solace,2008-10-30,586090727,106.0,6.1,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Marc Forster,Action,386.0
200000000,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,1065659812,151.0,7.0,Johnny Depp,Orlando Bloom,Keira Knightley,Gore Verbinski,Action,866.0
255000000,The Lone Ranger,2013-07-03,89289910,149.0,5.9,Johnny Depp,Armie Hammer,William Fichtner,Gore Verbinski,Action,-166.0
225000000,Man of Steel,2013-06-12,662845518,143.0,6.5,Henry Cavill,Amy Adams,Michael Shannon,Zack Snyder,Fantasy,438.0
225000000,The Chronicles of Narnia: Prince Caspian,2008-05-15,419651413,150.0,6.3,Ben Barnes,William Moseley,Anna Popplewell,Andrew Adamson,Family,195.0
220000000,The Avengers,2012-04-25,1519557910,143.0,7.4,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Joss Whedon,Adventure,1300.0
380000000,Pirates of the Caribbean: On Stranger Tides,2011-05-14,1045713802,136.0,6.4,Johnny Depp,Penélope Cruz,Ian McShane,Rob Marshall,Action,666.0
225000000,Men in Black 3,2012-05-23,624026776,106.0,6.2,Will Smith,Tommy Lee Jones,Josh Brolin,Barry Sonnenfeld,Action,399.0
250000000,The Hobbit: The Battle of the Five Armies,2014-12-10,956019788,144.0,7.1,Martin Freeman,Ian McKellen,Richard Armitage,Peter Jackson,Adventure,706.0
215000000,The Amazing Spider-Man,2012-06-27,752215857,136.0,6.5,Andrew Garfield,Emma Stone,Rhys Ifans,Marc Webb,Action,537.0
200000000,Robin Hood,2010-05-12,310669540,140.0,6.2,Russell Crowe,Cate Blanchett,Max von Sydow,Ridley Scott,Action,111.0
250000000,The Hobbit: The Desolation of Smaug,2013-12-11,958400000,161.0,7.6,Martin Freeman,Ian McKellen,Richard Armitage,Peter Jackson,Adventure,708.0
180000000,The Golden Compass,2007-12-04,372234864,113.0,5.8,Dakota Blue Richards,Nicole Kidman,Daniel Craig,Chris Weitz,Adventure,192.0
207000000,King Kong,2005-12-14,550000000,187.0,6.6,Naomi Watts,Jack Black,Adrien Brody,Peter Jackson,Action,343.0
200000000,Titanic,1997-11-18,1845034188,194.0,7.5,Kate Winslet,Leonardo DiCaprio,Frances Fisher,James Cameron,Romance,1645.0
250000000,Captain America: Civil War,2016-04-27,1153304495,147.0,7.1,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Anthony Russo,Action,903.0
209000000,Battleship,2012-04-11,303025485,131.0,5.5,Taylor Kitsch,Alexander Skarsgård,Rihanna,Peter Berg,Thriller,94.0
150000000,Jurassic World,2015-06-09,1513528810,124.0,6.5,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Colin Trevorrow,Adventure,1364.0
200000000,Skyfall,2012-10-25,1108561013,143.0,6.9,Daniel Craig,Judi Dench,Javier Bardem,Sam Mendes,Thriller,909.0
200000000,Spider-Man 2,2004-06-25,783766341,127.0,6.7,Tobey Maguire,Kirsten Dunst,James Franco,Sam Raimi,Fantasy,584.0
200000000,Iron Man 3,2013-04-18,1215439994,130.0,6.8,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Shane Black,Action,1015.0
200000000,Alice in Wonderland,2010-03-03,1025491110,108.0,6.4,Mia Wasikowska,Johnny Depp,Anne Hathaway,Tim Burton,Fantasy,825.0
210000000,X-Men: The Last Stand,2006-05-24,459359555,104.0,6.3,Hugh Jackman,Halle Berry,Ian McKellen,Brett Ratner,Thriller,249.0
200000000,Monsters University,2013-06-20,743559607,104.0,7.0,Billy Crystal,John Goodman,Steve Buscemi,Dan Scanlon,Animation,544.0
150000000,Transformers: Revenge of the Fallen,2009-06-19,836297228,150.0,6.0,Shia LaBeouf,Megan Fox,Josh Duhamel,Michael Bay,Action,686.0
210000000,Transformers: Age of Extinction,2014-06-25,1091405097,165.0,5.8,Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Michael Bay,Action,881.0
200000000,Oz: The Great and Powerful,2013-03-07,491868548,130.0,5.7,James Franco,Mila Kunis,Rachel Weisz,Sam Raimi,Family,292.0
200000000,The Amazing Spider-Man 2,2014-04-16,705717432,142.0,6.5,Andrew Garfield,Emma Stone,Jamie Foxx,Marc Webb,Adventure,506.0
170000000,TRON: Legacy,2010-12-10,400062763,125.0,6.3,Garrett Hedlund,Jeff Bridges,Olivia Wilde,Joseph Kosinski,Action,230.0
200000000,Cars 2,2011-06-11,559852396,106.0,5.8,Owen Wilson,Larry the Cable Guy,Michael Caine,John Lasseter,Family,360.0
200000000,Green Lantern,2011-06-16,219851172,114.0,5.1,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Martin Campbell,Action,20.0
200000000,Toy Story 3,2010-06-16,1066969703,103.0,7.6,Tom Hanks,Tim Allen,Ned Beatty,Lee Unkrich,Animation,867.0
200000000,Terminator Salvation,2009-05-20,371353001,115.0,5.9,Christian Bale,Sam Worthington,Anton Yelchin,McG,Thriller,171.0
190000000,Furious 7,2015-04-01,1506249360,137.0,7.3,Vin Diesel,Paul Walker,Dwayne Johnson,James Wan,Action,1316.0
200000000,World War Z,2013-06-20,531865000,116.0,6.7,Brad Pitt,Mireille Enos,Abigail Hargrove,Marc Forster,Science Fiction,332.0
250000000,X-Men: Days of Future Past,2014-05-15,747862775,131.0,7.5,Hugh Jackman,James McAvoy,Michael Fassbender,Bryan Singer,Fantasy,498.0
190000000,Star Trek Into Darkness,2013-05-05,467365246,132.0,7.4,Chris Pine,Zachary Quinto,Zoe Saldana,J.J. Abrams,Action,277.0
195000000,Jack the Giant Slayer,2013-02-27,197687603,114.0,5.5,Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Bryan Singer,Action,3.0
105000000,The Great Gatsby,2013-05-10,351040419,143.0,7.3,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Baz Luhrmann,Romance,246.0
150000000,Prince of Persia: The Sands of Time,2010-05-19,335154643,116.0,6.2,Jake Gyllenhaal,Gemma Arterton,Alfred Molina,Mike Newell,Adventure,185.0
180000000,Pacific Rim,2013-07-11,407602906,131.0,6.7,Idris Elba,Charlie Hunnam,Charlie Day,Guillermo del Toro,Science Fiction,228.0
195000000,Transformers: Dark of the Moon,2011-06-28,1123746996,154.0,6.1,Shia LaBeouf,John Malkovich,Ken Jeong,Michael Bay,Adventure,929.0
185000000,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,786636033,122.0,5.7,Harrison Ford,Cate Blanchett,Shia LaBeouf,Steven Spielberg,Adventure,602.0
175000000,The Good Dinosaur,2015-11-14,331926147,93.0,6.6,Raymond Ochoa,Jack Bright,Jeffrey Wright,Peter Sohn,Animation,157.0
185000000,Brave,2012-06-21,538983207,93.0,6.7,Kelly Macdonald,Julie Walters,Billy Connolly,Brenda Chapman,Family,354.0
185000000,Star Trek Beyond,2016-07-07,343471816,122.0,6.6,Chris Pine,Zachary Quinto,Karl Urban,Justin Lin,Science Fiction,158.0
180000000,WALL·E,2008-06-22,521311860,98.0,7.8,Ben Burtt,Elissa Knight,Jeff Garlin,Andrew Stanton,Family,341.0
140000000,Rush Hour 3,2007-08-08,258022233,91.0,6.1,Chris Tucker,Jackie Chan,Hiroyuki Sanada,Brett Ratner,Crime,118.0
200000000,2012,2009-10-10,769653595,158.0,5.6,John Cusack,Amanda Peet,Chiwetel Ejiofor,Roland Emmerich,Science Fiction,570.0
200000000,A Christmas Carol,2009-11-04,325233863,96.0,6.6,Gary Oldman,Jim Carrey,Steve Valentine,Robert Zemeckis,Drama,125.0
176000003,Jupiter Ascending,2015-02-04,183987723,124.0,5.2,Mila Kunis,Channing Tatum,Sean Bean,Lilly Wachowski,Fantasy,8.0
180000000,The Legend of Tarzan,2016-06-29,356743061,109.0,5.5,Alexander Skarsgård,Margot Robbie,Christoph Waltz,David Yates,Adventure,177.0
180000000,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,748806957,143.0,6.7,William Moseley,Anna Popplewell,Skandar Keynes,Andrew Adamson,Adventure,569.0
178000000,X-Men: Apocalypse,2016-05-18,543934787,144.0,6.4,James McAvoy,Michael Fassbender,Jennifer Lawrence,Bryan Singer,Science Fiction,366.0
185000000,The Dark Knight,2008-07-16,1004558444,152.0,8.2,Christian Bale,Heath Ledger,Aaron Eckhart,Christopher Nolan,Thriller,820.0
175000000,Up,2009-05-13,735099082,96.0,7.7,Ed Asner,Christopher Plummer,Jordan Nagai,Pete Docter,Family,560.0
175000000,Monsters vs Aliens,2009-03-19,381509870,94.0,6.0,Seth Rogen,Reese Witherspoon,Hugh Laurie,Conrad Vernon,Family,207.0
140000000,Iron Man,2008-04-30,585174222,126.0,7.4,Robert Downey Jr.,Terrence Howard,Jeff Bridges,Jon Favreau,Adventure,445.0
170000000,Hugo,2011-11-22,185770160,126.0,7.0,Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,Martin Scorsese,Drama,16.0
170000000,Wild Wild West,1999-06-29,222104681,106.0,5.1,Will Smith,Kevin Kline,Kenneth Branagh,Barry Sonnenfeld,Comedy,52.0
145000000,The Mummy: Tomb of the Dragon Emperor,2008-07-01,401128639,112.0,5.2,Brendan Fraser,Jet Li,John Hannah,Rob Cohen,Action,256.0
175000000,Suicide Squad,2016-08-02,745000000,123.0,5.9,Will Smith,Margot Robbie,Joel Kinnaman,David Ayer,Fantasy,570.0
175000000,Evan Almighty,2007-06-09,173000000,96.0,5.3,Steve Carell,Lauren Graham,John Goodman,Tom Shadyac,Comedy,-2.0
178000000,Edge of Tomorrow,2014-05-27,370541256,113.0,7.6,Tom Cruise,Emily Blunt,Brendan Gleeson,Doug Liman,Action,193.0
175000000,Waterworld,1995-07-28,264218220,135.0,5.9,Kevin Costner,Chaim Girafi,Rick Aviles,Kevin Reynolds,Action,89.0
175000000,G.I. Joe: The Rise of Cobra,2009-08-04,302469017,118.0,5.6,Dennis Quaid,Channing Tatum,Marlon Wayans,Stephen Sommers,Adventure,127.0
175000000,Inside Out,2015-06-09,857611174,94.0,8.0,Amy Poehler,Phyllis Smith,Richard Kind,Pete Docter,Family,683.0
175000000,The Jungle Book,2016-04-07,966550600,106.0,6.7,Neel Sethi,Bill Murray,Ben Kingsley,Jon Favreau,Adventure,792.0
200000000,Iron Man 2,2010-04-28,623933331,124.0,6.6,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Jon Favreau,Action,424.0
170000000,Snow White and the Huntsman,2012-05-30,396600000,127.0,5.8,Kristen Stewart,Charlize Theron,Chris Hemsworth,Rupert Sanders,Fantasy,227.0
180000000,Maleficent,2014-05-28,758539785,97.0,7.0,Angelina Jolie,Elle Fanning,Sharlto Copley,Robert Stromberg,Action,579.0
170000000,Dawn of the Planet of the Apes,2014-06-26,710644566,130.0,7.3,Andy Serkis,Jason Clarke,Gary Oldman,Matt Reeves,Drama,541.0
27000000,The Lovers,2015-02-13,0,109.0,4.8,Josh Hartnett,Simone Kessell,Tamsin Egerton,Roland Joffé,Adventure,-27.0
175000000,47 Ronin,2013-12-06,150962475,119.0,5.9,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Carl Rinsch,Fantasy,-24.0
170000000,Captain America: The Winter Soldier,2014-03-20,714766572,136.0,7.6,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Anthony Russo,Adventure,545.0
165000000,Shrek Forever After,2010-05-16,752600867,93.0,6.0,Mike Myers,Eddie Murphy,Cameron Diaz,Mike Mitchell,Adventure,588.0
