movie,metascore,imdb,tmeter,audience
10 Cloverfield Lane,7.6,7.2,9.0,7.9
13 Hours,4.8,7.3,5.0,8.3
A Cure for Wellness,4.7,6.6,4.0,4.7
A Dog's Purpose,4.3,5.2,3.3,7.6
A Hologram for the King,5.8,6.1,7.0,5.7
A Monster Calls,7.6,7.5,8.7,8.4
A Street Cat Named Bob,5.4,7.4,7.7,7.9
Alice Through the Looking Glass,3.4,6.2,3.0,5.0
Allied,6.0,7.1,6.1,6.6
Amateur Night,3.8,5.0,0.0,2.7
Anthropoid,5.9,7.2,6.6,7.1
Approaching the Unknown,5.3,4.8,4.5,1.6
Arrival,8.1,8.0,9.4,8.2
Arsenal,2.5,4.0,0.4,2.2
Assassin's Creed,3.6,6.1,1.7,5.1
Bad Moms,6.0,6.2,5.8,6.5
Bad Santa 2,3.8,5.5,2.3,3.7
Barbershop: The Next Cut,6.7,5.9,9.0,6.7
Batman V Superman: Dawn of Justice,4.4,6.7,2.7,6.3
Beauty and the Beast,6.5,7.8,7.0,8.6
Before I Fall,5.8,6.5,6.6,6.5
Before the Flood,6.3,8.4,7.1,7.7
Ben-Hur,3.8,5.7,2.5,5.5
Bitter Harvest,3.4,7.2,1.0,8.2
Blair Witch,4.7,5.1,3.5,3.0
Bleed for This,6.2,6.8,7.1,7.0
Blood Father,6.6,6.4,8.9,6.3
Bridget Jones's Baby,5.9,6.7,7.6,6.9
Busanhaeng,7.2,7.5,9.6,8.8
Cabin Fever,1.4,3.7,0.0,1.1
Cafe Society,6.4,6.7,7.0,5.8
Captain America: Civil War,7.5,7.9,9.0,8.9
Captain Fantastic,7.2,7.9,8.3,8.5
Cell,3.8,4.3,1.1,1.6
Central Intelligence,5.2,6.3,6.9,6.1
Collateral Beauty,2.3,6.7,1.2,6.6
Collide,3.3,5.7,1.9,3.9
Come and Find Me,4.6,5.7,6.7,3.1
Criminal,3.7,6.3,3.0,4.8
"Crouching Tiger, Hidden Dragon: Sword of Destiny",4.7,6.1,1.9,3.8
Deadpool,6.5,8.1,8.4,9.0
Deepwater Horizon,6.8,7.2,8.4,8.3
Dirty Grandpa,1.8,6.0,1.1,4.5
Doctor Strange,7.2,7.7,9.0,8.7
Don't Breathe,7.1,7.2,8.7,7.9
Eddie the Eagle,5.4,7.4,8.0,8.2
Elle,8.9,7.3,9.0,7.4
Elvis & Nixon,5.9,6.4,7.6,5.8
Everybody Loves Somebody,7.4,6.6,9.3,7.6
Everybody Wants Some!!,8.3,7.0,8.6,6.9
Exposed,2.3,4.2,0.5,1.3
Fantastic Beasts and Where to Find Them,6.6,7.5,7.3,8.1
Fences,7.9,7.3,9.3,7.8
Fifty Shades Darker,3.3,4.8,0.9,5.3
